id,latitude,longitude,price,minimum_nights,,,,,,,,
131444,51.48974,-0.11116,90,2,,,,,,,,
137581,51.51173,-0.07659,130,3,,,,,,,,
137907,51.52092,-0.14119,146,3,,,,,,,,
138800,51.51411,-0.0412,50,1,,,,,,,,
139142,51.55719,-0.12932,70,1,,,,,,,,
140518,51.60155,-0.1886,46,1,,,,,,,,
142117,51.52902,-0.08944,135,3,,,,,,,,
143028,51.40269,-0.19177,125,1,,,,,,,,
143478,51.53961,-0.0561,45,1,,,,,,,,
143568,51.53058,-0.01203,65,2,,,,,,,,
145612,51.50549,-0.33443,25,7,,,,,,,,
147802,51.49166,-0.06371,37,1,,,,,,,,
150900,51.48197,-0.17965,43,2,,,,,,,,
152863,51.58462,-0.14677,99,4,,,,,,,,
154221,51.48831,-0.13829,83,2,,,,,,,,
156966,51.48795,-0.10001,40,7,,,,,,,,
157227,51.54632,-0.07488,105,10,,,,,,,,
157536,51.4865,-0.08778,52,3,,,,,,,,
157714,51.48847,-0.22097,45,2,,,,,,,,
158939,51.47013,-0.04266,110,2,,,,,,,,
159736,51.46832,-0.10103,30,5,,,,,,,,
159787,51.55269,-0.11961,45,1,,,,,,,,
163086,51.55953,-0.12105,55,20,,,,,,,,
164543,51.42254,-0.21679,650,5,,,,,,,,
165336,51.51895,-0.21202,75,2,,,,,,,,
166760,51.38918,-0.06793,42,10,,,,,,,,
168348,51.51751,-0.19932,130,4,,,,,,,,
168359,51.49086,-0.08715,111,2,,,,,,,,
170702,51.49836,-0.02547,50,3,,,,,,,,
171513,51.54212,-0.10234,147,2,,,,,,,,
171686,51.5614,-0.12198,90,2,,,,,,,,
172629,51.4946,-0.19441,85,3,,,,,,,,
172807,51.51691,-0.15862,93,3,,,,,,,,
172811,51.54586,-0.18,300,21,,,,,,,,
174132,51.52496,-0.18805,50,1,,,,,,,,
174635,51.51762,-0.21359,120,2,,,,,,,,
178519,51.53919,-0.24072,75,3,,,,,,,,
179312,51.55037,-0.11407,90,2,,,,,,,,
180449,51.46932,-0.15277,57,2,,,,,,,,
181664,51.47305,-0.18358,100,3,,,,,,,,
