listing_url,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,,,
https://www.airbnb.com/rooms/3584790,47.67504404,-122.3827149,6,1,2,3,99,,,
https://www.airbnb.com/rooms/1266459,47.66797917,-122.3821054,2,1.5,1,1,150,,,
https://www.airbnb.com/rooms/9098059,47.67324985,-122.3873317,4,1,1,3,105,,,
https://www.airbnb.com/rooms/408526,47.67553327,-122.376324,7,4,3,3,218,,,
https://www.airbnb.com/rooms/4118282,47.67570811,-122.3875594,5,1.5,2,2,80,,,
https://www.airbnb.com/rooms/6813483,47.67477103,-122.3858305,2,1,1,1,126,,,
https://www.airbnb.com/rooms/6590264,47.66987432,-122.3877174,4,1,1,2,115,,,
https://www.airbnb.com/rooms/2650482,47.67097576,-122.3878253,4,2,2,2,225,,,
https://www.airbnb.com/rooms/20927,47.67333939,-122.3951203,2,1,1,1,89,,,
https://www.airbnb.com/rooms/4395578,47.67100489,-122.3813814,8,2.5,3,5,225,,,
https://www.airbnb.com/rooms/4995903,47.67170353,-122.3763381,1,1,0,1,50,,,
https://www.airbnb.com/rooms/5549211,47.67175997,-122.3900201,4,1,1,2,134,,,
https://www.airbnb.com/rooms/8240758,47.67481867,-122.3875212,2,1,1,1,75,,,
https://www.airbnb.com/rooms/6856295,47.67300401,-122.3850048,2,1,1,1,65,,,
https://www.airbnb.com/rooms/6881188,47.67039453,-122.393897,6,2.5,3,4,375,,,
https://www.airbnb.com/rooms/1579615,47.67582152,-122.3897101,3,1,1,2,97,,,
https://www.airbnb.com/rooms/3766866,47.67228446,-122.3823135,2,1,1,1,145,,,
https://www.airbnb.com/rooms/2406966,47.67227237,-122.3841322,5,1,2,4,129,,,
https://www.airbnb.com/rooms/4872699,47.67575024,-122.3765799,6,1.5,3,4,197,,,
https://www.airbnb.com/rooms/5470629,47.67260212,-122.3884415,2,1,1,1,120,,,
https://www.airbnb.com/rooms/2950213,47.66676678,-122.3812427,4,1,1,1,200,,,
https://www.airbnb.com/rooms/9015088,47.67550084,-122.3889063,5,2,2,2,135,,,
https://www.airbnb.com/rooms/3979496,47.67575764,-122.3787983,2,1,1,1,70,,,
https://www.airbnb.com/rooms/7501919,47.66780059,-122.3883002,2,1,1,2,150,,,
https://www.airbnb.com/rooms/4732995,47.66937129,-122.3762878,3,1,1,1,200,,,
https://www.airbnb.com/rooms/7134759,47.66896088,-122.3938769,2,1,1,1,60,,,
